ingredient,normalized_ingredient,food_id,food_name,food_group,food_subgroup,category,match_type
clam,clam,984.0,Clam,Aquatic foods,Bivalvia,,exact
clam broth,clam broth,,,,,,unmatched
clam chowder,clam chowder,,,,,,unmatched
clam juice,clam juice,,,,,,unmatched
clamato juice,clamato juice,,,,,,unmatched
clams,clams,,,,,,unmatched
clams in shell,clams in shell,,,,,,unmatched
clarified butter,clarified butter,,,,,,unmatched
classico alfredo with sun dried tomatoes,classico alfredo with sun dried tomatoes,,,,,,unmatched
classico tomato and basil pasta sauce,classico tomato and basil pasta sauce,,,,,,unmatched
clay flower pots,clay flower pots,,,,,,unmatched
cleaner,cleaner,,,,,,unmatched
clear broth,clear broth,,,,,,unmatched
clear honey,clear honey,,,,,,unmatched
clear jel,clear jel,,,,,,unmatched
clementine,clementine,991.0,Clementine,Fruits,Citrus,,exact
clementine juice,clementine juice,,,,,,unmatched
clementines,clementines,,,,,,unmatched
cling peach halves,cling peach halves,,,,,,unmatched
cloth,cloth,,,,,,unmatched
clotted cream,clotted cream,,,,,,unmatched
cloud ear mushrooms,cloud ear mushrooms,,,,,,unmatched
cloudberry jam,cloudberry jam,,,,,,unmatched
clove,clove,,,,,,unmatched
clove powder,clove powder,,,,,,unmatched
cloves,cloves,179.0,Cloves,Herbs and Spices,Spices,specific,exact
club crackers,club crackers,,,,,,unmatched
club soda,club soda,,,,,,unmatched
clubhouse spicy pepper medley,clubhouse spicy pepper medley,,,,,,unmatched
coarse black pepper,coarse black pepper,,,,,,unmatched
coarse grain mustard,coarse grain mustard,,,,,,unmatched
coarse ground beef,coarse ground beef,,,,,,unmatched
coarse ground mustard,coarse ground mustard,,,,,,unmatched
coarse ground pepper,coarse ground pepper,,,,,,unmatched
coarse salt,salt,666.0,Salt,Baking goods,Seasonings,specific,manual_synonym
coarse sea salt,coarse sea salt,,,,,,unmatched
coarse sugar,coarse sugar,,,,,,unmatched
coarse unseasoned bread crumbs,coarse unseasoned bread crumbs,,,,,,unmatched
coarse wheat flour,coarse wheat flour,,,,,,unmatched
coating mix,coating mix,,,,,,unmatched
coca cola,coca cola,,,,,,unmatched
coca cola classic,coca cola classic,,,,,,unmatched
cockles,cockles,,,,,,unmatched
cocktail frankfurters,cocktail frankfurters,,,,,,unmatched
cocktail franks,cocktail franks,,,,,,unmatched
cocktail onion,cocktail onion,,,,,,unmatched
cocktail onions,cocktail onions,,,,,,unmatched
coco lopez,coco lopez,,,,,,unmatched
coco pops cereal,coco pops cereal,,,,,,unmatched
cocoa,cocoa,,,,,,unmatched
cocoa butter,cocoa butter,706.0,Cocoa butter,Cocoa and cocoa products,Cocoa products,specific,exact
cocoa krispies,cocoa krispies,,,,,,unmatched
cocoa krispies cereal,cocoa krispies cereal,,,,,,unmatched
cocoa nibs,cocoa nibs,,,,,,unmatched
cocoa pebbles cereal,cocoa pebbles cereal,,,,,,unmatched
cocoa powder,cocoa powder,707.0,Cocoa powder,Cocoa and cocoa products,Cocoa products,specific,exact
cocoa puffs cereal,cocoa puffs cereal,,,,,,unmatched
coconut,coconut,341.0,Coconut,Fruits,Tropical fruits,specific,exact
coconut aminos,coconut aminos,,,,,,unmatched
coconut biscuits,coconut biscuits,,,,,,unmatched
coconut butter,coconut butter,,,,,,unmatched
coconut cake mix,coconut cake mix,,,,,,unmatched
coconut cream,coconut cream,,,,,,unmatched
coconut cream pudding mix,coconut cream pudding mix,,,,,,unmatched
coconut essence,coconut essence,,,,,,unmatched
coconut extract,coconut extract,,,,,,unmatched
coconut fat,coconut fat,,,,,,unmatched
coconut flakes,coconut flakes,,,,,,unmatched
coconut flavoring,coconut flavoring,,,,,,unmatched
coconut flour,coconut flour,,,,,,unmatched
coconut juice,coconut juice,,,,,,unmatched
coconut liqueur,coconut liqueur,,,,,,unmatched
coconut macaroons,coconut macaroons,,,,,,unmatched
coconut meat,coconut meat,,,,,,unmatched
coconut milk,coconut milk,970.0,Coconut milk,Milk and milk products,Other milk products,,exact
coconut milk powder,coconut milk powder,,,,,,unmatched
coconut oil,coconut oil,973.0,Coconut oil,Herbs and Spices,Oilseed crops,,exact
coconut pecan frosting,coconut pecan frosting,,,,,,unmatched
coconut pudding mix,coconut pudding mix,,,,,,unmatched
coconut rum,coconut rum,,,,,,unmatched
coconut sugar,coconut sugar,,,,,,unmatched
coconut sugar crystals,coconut sugar crystals,,,,,,unmatched
coconut syrup,coconut syrup,,,,,,unmatched
coconut vinegar,coconut vinegar,,,,,,unmatched
coconut water,coconut water,,,,,,unmatched
coconut yogurt,coconut yogurt,,,,,,unmatched
coconuts,coconuts,,,,,,unmatched
cod,cod,,,,,,unmatched
cod fish fillet,cod fish fillet,,,,,,unmatched
cod fish fillets,cod fish fillets,,,,,,unmatched
cod steaks,cod steaks,,,,,,unmatched
coddled egg,coddled egg,,,,,,unmatched
coffee,coffee,58.0,Coffee,Coffee and coffee products,Coffee,generic,exact
coffee beans,coffee beans,,,,,,unmatched
coffee creamer,coffee creamer,,,,,,unmatched
coffee extract,coffee extract,,,,,,unmatched
coffee filter,coffee filter,,,,,,unmatched
coffee flavored liqueur,coffee flavored liqueur,,,,,,unmatched
coffee flavored syrup,coffee flavored syrup,,,,,,unmatched
coffee ice cream,coffee ice cream,,,,,,unmatched
coffee ice cubes,coffee ice cubes,,,,,,unmatched
coffee liqueur,coffee liqueur,,,,,,unmatched
coffee mate,coffee mate,,,,,,unmatched
coffee mate cinnamon vanilla liquid creamer,coffee mate cinnamon vanilla liquid creamer,,,,,,unmatched
coffee mate fat free powder,coffee mate fat free powder,,,,,,unmatched
coffee mate italian sweet creme,coffee mate italian sweet creme,,,,,,unmatched
coffee syrup,coffee syrup,,,,,,unmatched
coffee tequila,coffee tequila,,,,,,unmatched
cognac,cognac,,,,,,unmatched
cointreau liqueur,cointreau liqueur,,,,,,unmatched
coke,coke,,,,,,unmatched
cola,cola,,,,,,unmatched
cola drink,cola drink,,,,,,unmatched
cola flavored carbonated beverage,cola flavored carbonated beverage,,,,,,unmatched
colby,colby,,,,,,unmatched
colby cheese,colby cheese,,,,,,unmatched
colby monterey jack cheese,colby monterey jack cheese,,,,,,unmatched
cold cuts,cold cuts,,,,,,unmatched
cold water,cold water,,,,,,unmatched
colemans dry mustard,colemans dry mustard,,,,,,unmatched
coleslaw,coleslaw,,,,,,unmatched
coleslaw dressing,coleslaw dressing,,,,,,unmatched
coleslaw mix,coleslaw mix,,,,,,unmatched
collard greens,collard greens,,,,,,unmatched
colored crystal sugar,colored crystal sugar,,,,,,unmatched
colored miniature marshmallows,colored miniature marshmallows,,,,,,unmatched
colored sprinkles,colored sprinkles,,,,,,unmatched
colored sugar sprinkle,colored sugar sprinkle,,,,,,unmatched
complete caesar salad in a bag,complete caesar salad in a bag,,,,,,unmatched
complete pancake and waffle mix,complete pancake and waffle mix,,,,,,unmatched
compressed yeast cake,compressed yeast cake,,,,,,unmatched
compressed yeast cakes,compressed yeast cakes,,,,,,unmatched
comte cheese,comte cheese,,,,,,unmatched
concentrated tomato paste,concentrated tomato paste,,,,,,unmatched
conch,conch,625.0,Conch,Aquatic foods,Mollusks,specific,exact
conchiglie,conchiglie,,,,,,unmatched
condensed bean with bacon soup,condensed bean with bacon soup,,,,,,unmatched
condensed beef broth,condensed beef broth,,,,,,unmatched
condensed beef consomme,condensed beef consomme,,,,,,unmatched
condensed broccoli cheddar cheese soup,condensed broccoli cheddar cheese soup,,,,,,unmatched
condensed cheddar cheese soup,condensed cheddar cheese soup,,,,,,unmatched
condensed chicken and wild rice soup,condensed chicken and wild rice soup,,,,,,unmatched
condensed chicken broth,condensed chicken broth,,,,,,unmatched
condensed chicken broth with garlic herbs,condensed chicken broth with garlic herbs,,,,,,unmatched
condensed chicken vegetable soup,condensed chicken vegetable soup,,,,,,unmatched
condensed chicken with rice soup,condensed chicken with rice soup,,,,,,unmatched
condensed cream of asparagus soup,condensed cream of asparagus soup,,,,,,unmatched
condensed cream of broccoli soup,condensed cream of broccoli soup,,,,,,unmatched
condensed cream of celery soup,condensed cream of celery soup,,,,,,unmatched
condensed cream of chicken soup,condensed cream of chicken soup,,,,,,unmatched
condensed cream of chicken with herbs soup,condensed cream of chicken with herbs soup,,,,,,unmatched
condensed cream of mushroom garlic soup,condensed cream of mushroom garlic soup,,,,,,unmatched
condensed cream of mushroom soup,condensed cream of mushroom soup,,,,,,unmatched
condensed cream of potato soup,condensed cream of potato soup,,,,,,unmatched
condensed cream of tomato soup,condensed cream of tomato soup,,,,,,unmatched
condensed french onion soup,condensed french onion soup,,,,,,unmatched
condensed golden mushroom soup,condensed golden mushroom soup,,,,,,unmatched
condensed milk,condensed milk,871.0,Condensed milk,Milk and milk products,Other milk products,specific,exact
condensed minestrone soup,condensed minestrone soup,,,,,,unmatched
condensed mushroom soup,condensed mushroom soup,,,,,,unmatched
condensed new england clam chowder,condensed new england clam chowder,,,,,,unmatched
condensed pumpkin soup,condensed pumpkin soup,,,,,,unmatched
condensed reduced sodium chicken noodle soup,condensed reduced sodium chicken noodle soup,,,,,,unmatched
condensed spicy tomato soup,condensed spicy tomato soup,,,,,,unmatched
condensed tomato soup,condensed tomato soup,,,,,,unmatched
condensed vegetable beef soup,condensed vegetable beef soup,,,,,,unmatched
condensed vegetable broth,condensed vegetable broth,,,,,,unmatched
condiments,condiments,,,,,,unmatched
confectioners coating,confectioners coating,,,,,,unmatched
confectioners sugar,icing sugar,,,,,,unmatched
consomme,consomme,,,,,,unmatched
contadina diced tomatoes,contadina diced tomatoes,,,,,,unmatched
converted long grain rice,converted long grain rice,,,,,,unmatched
converted rice,converted rice,,,,,,unmatched
converted white rice,converted white rice,,,,,,unmatched
cooked angel hair pasta,cooked angel hair pasta,,,,,,unmatched
cooked bacon,cooked bacon,,,,,,unmatched
cooked barley,cooked barley,,,,,,unmatched
cooked basmati rice,cooked basmati rice,,,,,,unmatched
cooked beef,cooked beef,,,,,,unmatched
cooked beets,cooked beets,,,,,,unmatched
cooked boneless beef roast,cooked boneless beef roast,,,,,,unmatched
cooked boneless skinless chicken breast,cooked boneless skinless chicken breast,,,,,,unmatched
cooked boneless skinless chicken breasts,cooked boneless skinless chicken breasts,,,,,,unmatched
cooked bow tie pasta,cooked bow tie pasta,,,,,,unmatched
cooked broccoli,cooked broccoli,,,,,,unmatched
cooked brown rice,cooked brown rice,,,,,,unmatched
cooked cavatappi,cooked cavatappi,,,,,,unmatched
cooked chicken,cooked chicken,,,,,,unmatched
cooked chicken breast,cooked chicken breast,,,,,,unmatched
cooked chicken breast halves,cooked chicken breast halves,,,,,,unmatched
cooked chicken breast strips,cooked chicken breast strips,,,,,,unmatched
cooked chicken breasts,cooked chicken breasts,,,,,,unmatched
cooked converted rice,cooked converted rice,,,,,,unmatched
cooked corkscrew macaroni,cooked corkscrew macaroni,,,,,,unmatched
cooked corned beef,cooked corned beef,,,,,,unmatched
cooked couscous,cooked couscous,,,,,,unmatched
cooked crab meat,cooked crab meat,,,,,,unmatched
cooked dark chicken meat,cooked dark chicken meat,,,,,,unmatched
cooked ditalini,cooked ditalini,,,,,,unmatched
cooked egg noodles,cooked egg noodles,,,,,,unmatched
cooked elbow macaroni,cooked elbow macaroni,,,,,,unmatched
cooked farfalle pasta,cooked farfalle pasta,,,,,,unmatched
cooked fettuccine,cooked fettuccine,,,,,,unmatched
cooked grits,cooked grits,,,,,,unmatched
cooked ground beef,cooked ground beef,,,,,,unmatched
cooked ham,cooked ham,,,,,,unmatched
cooked italian chicken breasts,cooked italian chicken breasts,,,,,,unmatched
cooked italian sausage,cooked italian sausage,,,,,,unmatched
cooked jasmine rice,cooked jasmine rice,,,,,,unmatched
cooked lamb,cooked lamb,,,,,,unmatched
cooked lasagna noodles,cooked lasagna noodles,,,,,,unmatched
cooked lean beef,cooked lean beef,,,,,,unmatched
cooked lentils,cooked lentils,,,,,,unmatched
cooked linguine,cooked linguine,,,,,,unmatched
cooked lobster meat,cooked lobster meat,,,,,,unmatched
cooked long grain brown rice,cooked long grain brown rice,,,,,,unmatched
cooked long grain rice,cooked long grain rice,,,,,,unmatched
cooked macaroni,cooked macaroni,,,,,,unmatched
cooked medium grain rice,cooked medium grain rice,,,,,,unmatched
cooked minute rice,cooked minute rice,,,,,,unmatched
cooked noodles,cooked noodles,,,,,,unmatched
cooked oatmeal,cooked oatmeal,,,,,,unmatched
cooked oats,cooked oats,,,,,,unmatched
cooked orzo pasta,cooked orzo pasta,,,,,,unmatched
cooked pasta,cooked pasta,,,,,,unmatched
cooked pearl barley,cooked pearl barley,,,,,,unmatched
cooked penne,cooked penne,,,,,,unmatched
cooked pork,cooked pork,,,,,,unmatched
cooked pot roast,cooked pot roast,,,,,,unmatched
cooked pumpkin,cooked pumpkin,,,,,,unmatched
cooked quinoa,cooked quinoa,,,,,,unmatched
cooked rice,cooked rice,,,,,,unmatched
cooked rigatoni pasta,cooked rigatoni pasta,,,,,,unmatched
cooked rotini,cooked rotini,,,,,,unmatched
cooked salmon,cooked salmon,,,,,,unmatched
cooked sausage,cooked sausage,,,,,,unmatched
cooked scallops,cooked scallops,,,,,,unmatched
cooked short grain rice,cooked short grain rice,,,,,,unmatched
cooked shrimp,cooked shrimp,,,,,,unmatched
cooked small shell pasta,cooked small shell pasta,,,,,,unmatched
cooked soba noodles,cooked soba noodles,,,,,,unmatched
cooked spaghetti,cooked spaghetti,,,,,,unmatched
cooked spiral shaped pasta,cooked spiral shaped pasta,,,,,,unmatched
cooked sticky rice,cooked sticky rice,,,,,,unmatched
cooked sushi rice,cooked sushi rice,,,,,,unmatched
cooked sweet potato,cooked sweet potato,,,,,,unmatched
cooked sweet potatoes,cooked sweet potatoes,,,,,,unmatched
cooked turkey,cooked turkey,,,,,,unmatched
cooked turkey bacon,cooked turkey bacon,,,,,,unmatched
cooked turkey breast,cooked turkey breast,,,,,,unmatched
cooked turkey sausage,cooked turkey sausage,,,,,,unmatched
cooked white chicken meat,cooked white chicken meat,,,,,,unmatched
cooked white rice,cooked white rice,,,,,,unmatched
cooked whole wheat noodles,cooked whole wheat noodles,,,,,,unmatched
cooked whole wheat penne,cooked whole wheat penne,,,,,,unmatched
cooked whole wheat spaghetti,cooked whole wheat spaghetti,,,,,,unmatched
cooked wild rice,cooked wild rice,,,,,,unmatched
cooked yellow rice,cooked yellow rice,,,,,,unmatched
cooked ziti,cooked ziti,,,,,,unmatched
cookie,cookie,,,,,,unmatched
cookie crumbs,cookie crumbs,,,,,,unmatched
cookie cutter,cookie cutter,,,,,,unmatched
cookie dough,cookie dough,,,,,,unmatched
cookies,cookies,,,,,,unmatched
cookies cream ice cream,cookies cream ice cream,,,,,,unmatched
cooking apple,cooking apple,,,,,,unmatched
cooking apples,cooking apples,,,,,,unmatched
cooking fat,cooking fat,,,,,,unmatched
cooking oil,cooking oil,804.0,Cooking oil,Baking goods,Baking goods,specific,exact
cooking onion,cooking onion,,,,,,unmatched
cooking onions,cooking onions,,,,,,unmatched
cooking sherry,cooking sherry,,,,,,unmatched
cooking spray,vegetable oil cooking spray,,,,,,unmatched
cooking wine,cooking wine,,,,,,unmatched
cool ranch doritos,cool ranch doritos,,,,,,unmatched
cool whip,cool whip,,,,,,unmatched
cool whip free,cool whip free,,,,,,unmatched
cool whip lite,cool whip lite,,,,,,unmatched
cool whip topping,cool whip topping,,,,,,unmatched
cool whip whipped topping,cool whip whipped topping,,,,,,unmatched
cooper sharp cheese,cooper sharp cheese,,,,,,unmatched
copha,copha,,,,,,unmatched
coriander,coriander,61.0,Coriander,Herbs and Spices,Herbs,specific,exact
coriander leaves,coriander leaves,,,,,,unmatched
coriander powder,coriander powder,,,,,,unmatched
coriander root,coriander root,,,,,,unmatched
coriander roots,coriander roots,,,,,,unmatched
coriander seed,coriander seed,,,,,,unmatched
coriander seeds,coriander seeds,,,,,,unmatched
coriander sprig,coriander sprig,,,,,,unmatched
coriander sprigs,coriander sprigs,,,,,,unmatched
corkscrew macaroni,corkscrew macaroni,,,,,,unmatched
corn,corn,205.0,Corn,Cereals and cereal products,Cereals,specific,exact
corn and black bean salsa,corn and black bean salsa,,,,,,unmatched
corn beef hash,corn beef hash,,,,,,unmatched
corn cakes,corn cakes,,,,,,unmatched
corn chex,corn chex,,,,,,unmatched
corn chips,corn chips,,,,,,unmatched
corn chowder,corn chowder,,,,,,unmatched
corn cobs,corn cobs,,,,,,unmatched
corn flake crumbs,corn flake crumbs,,,,,,unmatched
corn flakes,corn flakes,,,,,,unmatched
corn flakes cereal,corn flakes cereal,,,,,,unmatched
corn husk,corn husk,,,,,,unmatched
corn husks,corn husks,,,,,,unmatched
corn kernel,corn kernel,,,,,,unmatched
corn kernels,corn kernels,,,,,,unmatched
corn mixed with chopped peppers,corn mixed with chopped peppers,,,,,,unmatched
corn muffin mix,corn muffin mix,,,,,,unmatched
corn muffins,corn muffins,,,,,,unmatched
corn niblets,corn niblets,,,,,,unmatched
corn oil,corn oil,976.0,Corn oil,Herbs and Spices,Oilseed crops,,exact
corn oil margarine,corn oil margarine,,,,,,unmatched
corn on the cob,corn on the cob,,,,,,unmatched
corn pops cereal,corn pops cereal,,,,,,unmatched
corn puffs,corn puffs,,,,,,unmatched
corn syrup,corn syrup,,,,,,unmatched
corn tortilla,corn tortilla,,,,,,unmatched
corn tortilla chips,corn tortilla chips,,,,,,unmatched
corn tortilla strips,corn tortilla strips,,,,,,unmatched
corn tortillas,corn tortillas,,,,,,unmatched
cornbread,cornbread,840.0,Cornbread,Cereals and cereal products,Flat breads,specific,exact
cornbread cubes,cornbread cubes,,,,,,unmatched
cornbread mix,cornbread mix,,,,,,unmatched
cornbread muffin mix,cornbread muffin mix,,,,,,unmatched
cornbread muffins,cornbread muffins,,,,,,unmatched
cornbread stuffing mix,cornbread stuffing mix,,,,,,unmatched
corned beef,corned beef,,,,,,unmatched
corned beef brisket,corned beef brisket,,,,,,unmatched
cornflour,cornflour,,,,,,unmatched
cornichon,cornichon,,,,,,unmatched
cornichons,cornichons,,,,,,unmatched
cornish hen,cornish hen,,,,,,unmatched
cornish hens,cornish hens,,,,,,unmatched
cornmeal,cornmeal,,,,,,unmatched
cornmeal mix,cornmeal mix,,,,,,unmatched
cornstarch,cornstarch,,,,,,unmatched
cornstarch paste,cornstarch paste,,,,,,unmatched
corona beer,corona beer,,,,,,unmatched
cortland apples,cortland apples,,,,,,unmatched
cos lettuce,cos lettuce,,,,,,unmatched
cotija cheese,cotija cheese,,,,,,unmatched
cottage cheese,cottage cheese,982.0,Cottage cheese,Milk and milk products,Fermented milk products,,exact
cottage cheese with chives,cottage cheese with chives,,,,,,unmatched
cottage roll,cottage roll,,,,,,unmatched
cotto salami,cotto salami,,,,,,unmatched
cotton ball,cotton ball,,,,,,unmatched
country biscuits,country biscuits,,,,,,unmatched
country bob all purpose sauce,country bob all purpose sauce,,,,,,unmatched
country bread,country bread,,,,,,unmatched
country cream gravy,country cream gravy,,,,,,unmatched
country gravy mix,country gravy mix,,,,,,unmatched
country ham,country ham,,,,,,unmatched
country ribs,country ribs,,,,,,unmatched
country sausage,country sausage,,,,,,unmatched
country style boneless pork ribs,country style boneless pork ribs,,,,,,unmatched
country style dijon mustard,country style dijon mustard,,,,,,unmatched
country style pork ribs,country style pork ribs,,,,,,unmatched
country style spareribs,country style spareribs,,,,,,unmatched
country time lemonade mix,country time lemonade mix,,,,,,unmatched
courgette,courgette,,,,,,unmatched
courgettes,courgettes,,,,,,unmatched
court bouillon,court bouillon,,,,,,unmatched
couscous,couscous,765.0,Couscous,Dishes,Berber cuisine,specific,exact
crab,crab,587.0,Crab,Aquatic foods,Crustaceans,specific,exact
crab base,crab base,,,,,,unmatched
crab boil,crab boil,,,,,,unmatched
crab boil seasoning,crab boil seasoning,,,,,,unmatched
crab claw meat,crab claw meat,,,,,,unmatched
crab claws,crab claws,,,,,,unmatched
crab delights imitation crab,crab delights imitation crab,,,,,,unmatched
crab legs,crab legs,,,,,,unmatched
crab roe,crab roe,,,,,,unmatched
crabapples,crabapples,,,,,,unmatched
crabmeat,crabmeat,,,,,,unmatched
crabs,crabs,,,,,,unmatched
crabsticks,crabsticks,,,,,,unmatched
cracked black pepper,cracked black pepper,,,,,,unmatched
cracked bulgur wheat,cracked bulgur wheat,,,,,,unmatched
cracked farro,cracked farro,,,,,,unmatched
cracked ice,cracked ice,,,,,,unmatched
cracked pepper,cracked pepper,,,,,,unmatched
cracked wheat,cracked wheat,,,,,,unmatched
cracked wheat bread,cracked wheat bread,,,,,,unmatched
cracker,cracker,812.0,Cracker,Snack foods,Snack foods,specific,exact
cracker barrel sharp cheddar cheese,cracker barrel sharp cheddar cheese,,,,,,unmatched
cracker crumb,cracker crumb,,,,,,unmatched
cracker crumbs,cracker crumbs,,,,,,unmatched
cracker girl all purpose seasoning,cracker girl all purpose seasoning,,,,,,unmatched
cracker meal,cracker meal,,,,,,unmatched
crackers,crackers,,,,,,unmatched
craisins,craisins,,,,,,unmatched
cranberries,cranberries,,,,,,unmatched
cranberry almond crunch cereal,cranberry almond crunch cereal,,,,,,unmatched
cranberry apple juice,cranberry apple juice,,,,,,unmatched
cranberry beans,cranberry beans,,,,,,unmatched
cranberry chutney,cranberry chutney,,,,,,unmatched
cranberry flavored beer,cranberry flavored beer,,,,,,unmatched
cranberry gelatin,cranberry gelatin,,,,,,unmatched
cranberry grape juice,cranberry grape juice,,,,,,unmatched
cranberry horseradish,cranberry horseradish,,,,,,unmatched
cranberry jam,cranberry jam,,,,,,unmatched
cranberry jelly,cranberry jelly,,,,,,unmatched
cranberry juice,cranberry juice,,,,,,unmatched
cranberry juice cocktail,cranberry juice cocktail,,,,,,unmatched
cranberry juice concentrate,cranberry juice concentrate,,,,,,unmatched
cranberry liqueur,cranberry liqueur,,,,,,unmatched
cranberry macadamia nut cereal,cranberry macadamia nut cereal,,,,,,unmatched
cranberry orange relish,cranberry orange relish,,,,,,unmatched
cranberry orange sauce,cranberry orange sauce,,,,,,unmatched
cranberry peach juice,cranberry peach juice,,,,,,unmatched
cranberry quick bread mix,cranberry quick bread mix,,,,,,unmatched
cranberry raspberry juice,cranberry raspberry juice,,,,,,unmatched
cranberry sauce,cranberry sauce,,,,,,unmatched
cranberry vodka,cranberry vodka,,,,,,unmatched
cranberry wine,cranberry wine,,,,,,unmatched
crawfish,crawfish,,,,,,unmatched
crawfish meat,crawfish meat,,,,,,unmatched
crawfish tail,crawfish tail,,,,,,unmatched
crawfish tail meat,crawfish tail meat,,,,,,unmatched
crawfish tails,crawfish tails,,,,,,unmatched
crazy salt,crazy salt,,,,,,unmatched
cream,cream,669.0,Cream,Milk and milk products,Other milk products,specific,exact
cream cheese,cream cheese,,,,,,unmatched
cream cheese dip,cream cheese dip,,,,,,unmatched
cream cheese frosting,cream cheese frosting,,,,,,unmatched
cream cheese spread,cream cheese spread,,,,,,unmatched
cream cheese with chives,cream cheese with chives,,,,,,unmatched
cream cheese with chives and onions,cream cheese with chives and onions,,,,,,unmatched
cream cheese with garlic,cream cheese with garlic,,,,,,unmatched
cream cheese with garlic and herbs,cream cheese with garlic and herbs,,,,,,unmatched
cream cheese with herbs,cream cheese with herbs,,,,,,unmatched
cream cheese with pineapple,cream cheese with pineapple,,,,,,unmatched
cream cheese with vegetables,cream cheese with vegetables,,,,,,unmatched
cream filled chocolate sandwich cookies,cream filled chocolate sandwich cookies,,,,,,unmatched
cream flour,cream flour,,,,,,unmatched
cream of asparagus soup,cream of asparagus soup,,,,,,unmatched
cream of broccoli soup,cream of broccoli soup,,,,,,unmatched
cream of broccoli soup mix,cream of broccoli soup mix,,,,,,unmatched
cream of celery soup,cream of celery soup,,,,,,unmatched
cream of chicken and mushroom soup,cream of chicken and mushroom soup,,,,,,unmatched
cream of chicken soup,cream of chicken soup,,,,,,unmatched
cream of chicken soup mix,cream of chicken soup mix,,,,,,unmatched
cream of coconut,cream of coconut,,,,,,unmatched
cream of mushroom soup,cream of mushroom soup,,,,,,unmatched
cream of onion soup,cream of onion soup,,,,,,unmatched
cream of potato soup,cream of potato soup,,,,,,unmatched
cream of rice,cream of rice,,,,,,unmatched
cream of shrimp soup,cream of shrimp soup,,,,,,unmatched
cream of tartar,cream of tartar,,,,,,unmatched
cream of tomato soup,cream of tomato soup,,,,,,unmatched
cream of wheat,cream of wheat,,,,,,unmatched
cream sherry,cream sherry,,,,,,unmatched
cream soda,cream soda,,,,,,unmatched
cream soup,cream soup,,,,,,unmatched
cream style corn,cream style corn,,,,,,unmatched
cream style cottage cheese,cream style cottage cheese,,,,,,unmatched
cream style sweet corn,cream style sweet corn,,,,,,unmatched
creamed coconut,creamed coconut,,,,,,unmatched
creamed corn,creamed corn,,,,,,unmatched
creamed honey,creamed honey,,,,,,unmatched
creamed horseradish,creamed horseradish,,,,,,unmatched
creamed spinach,creamed spinach,,,,,,unmatched
creamy italian dressing,creamy italian dressing,,,,,,unmatched
creamy peanut butter,creamy peanut butter,,,,,,unmatched
crema,crema,,,,,,unmatched
creme anglaise,creme anglaise,,,,,,unmatched
creme de almond,creme de almond,,,,,,unmatched
creme de banane,creme de banane,,,,,,unmatched
creme de cacao,creme de cacao,,,,,,unmatched
creme de cassis,creme de cassis,,,,,,unmatched
creme de coconut,creme de coconut,,,,,,unmatched
creme de menthe,creme de menthe,,,,,,unmatched
creme de menthe baking chips,creme de menthe baking chips,,,,,,unmatched
creme de menthe coffee syrup,creme de menthe coffee syrup,,,,,,unmatched
creme de menthe thin candies,creme de menthe thin candies,,,,,,unmatched
creme de noyaux,creme de noyaux,,,,,,unmatched
creme fraiche,creme fraiche,,,,,,unmatched
creme yvette,creme yvette,,,,,,unmatched
cremini mushroom,cremini mushroom,,,,,,unmatched
cremini mushroom caps,cremini mushroom caps,,,,,,unmatched
cremini mushrooms,cremini mushrooms,,,,,,unmatched
cremora,cremora,,,,,,unmatched
creole mustard,creole mustard,,,,,,unmatched
creole seasoning,creole seasoning,,,,,,unmatched
crepe,crepe,,,,,,unmatched
crepes,crepes,,,,,,unmatched
crescent roll,crescent roll,,,,,,unmatched
crescent roll dough,crescent roll dough,,,,,,unmatched
crescent rolls,crescent rolls,,,,,,unmatched
crisco,crisco,,,,,,unmatched
crisco all vegetable shortening,crisco all vegetable shortening,,,,,,unmatched
crisco all vegetable shortening sticks,crisco all vegetable shortening sticks,,,,,,unmatched
crisco baking sticks all vegetable shortening,crisco baking sticks all vegetable shortening,,,,,,unmatched
crisco baking sticks butter flavor all vegetable shortening,crisco baking sticks butter flavor all vegetable shortening,,,,,,unmatched
crisco cooking oil,crisco cooking oil,,,,,,unmatched
crisco original no stick cooking spray,crisco original no stick cooking spray,,,,,,unmatched
crisco shortening,crisco shortening,,,,,,unmatched
crisp bacon,crisp bacon,,,,,,unmatched
crisp chow mein noodles,crisp chow mein noodles,,,,,,unmatched
crisp red apples,crisp red apples,,,,,,unmatched
crisp rice cereal,crisp rice cereal,,,,,,unmatched
crisp salad green,crisp salad green,,,,,,unmatched
crispbread,crispbread,,,,,,unmatched
crispix cereal,crispix cereal,,,,,,unmatched
crispy brown rice cereal,crispy brown rice cereal,,,,,,unmatched
crispy rice cereal,crispy rice cereal,,,,,,unmatched
crispy wheat cereal squares,crispy wheat cereal squares,,,,,,unmatched
crocodile filets,crocodile filets,,,,,,unmatched
croissant,croissant,,,,,,unmatched
croissant dough,croissant dough,,,,,,unmatched
croissants,croissants,,,,,,unmatched
crookneck yellow squash,crookneck yellow squash,,,,,,unmatched
cross rib roasts,cross rib roasts,,,,,,unmatched
crostini,crostini,,,,,,unmatched
crouton,crouton,,,,,,unmatched
croutons,croutons,,,,,,unmatched
crowder peas,crowder peas,,,,,,unmatched
crown royal whiskey,crown royal whiskey,,,,,,unmatched
crumb topping,crumb topping,,,,,,unmatched
crumpets,crumpets,,,,,,unmatched
