compound_id,canonical_flavor,flavor_group
9189,fruit,fruity
19769,green,green
19769,nut,nutty
18078,tomato,vegetable
18078,potato,vegetable
18078,green,green
12140,soape,soapy
12140,green,green
12140,floral,floral
19937,sweet,balsamic
19937,fruit,fruity
19937,rose,floral
19937,honee,balsamic
19937,floral,floral
18758,fruit,fruity
18758,sweet,balsamic
18758,banana,fruity
18758,apricot,fruity
893,plastic,chemical
9401,fruit,fruity
8278,meat,meaty
8278,sulfur,chemical
8407,floral,floral
8407,fruit,fruity
8407,violet,floral
8407,woode,woody
9847,caramel,balsamic
9847,green,green
9847,minte,minty
14736,fish,fishy
3009,floral,floral
3009,citru,citrus
751,fruit,fruity
19352,sweet,balsamic
19352,fruit,fruity
19352,floral,floral
19352,honee,balsamic
19352,nut,nutty
16327,fruit,fruity
16327,spice,spicy
9943,fruit,fruity
9943,floral,floral
9943,fat,fatty
9576,fruit,fruity
8327,sulfur,chemical
3297,sweet,balsamic
3297,caramel,balsamic
11500,green,green
11500,leafe,green
3193,minte,minty
3193,fruit,fruity
16747,spice,spicy
16244,sweet,balsamic
16244,honee,balsamic
16244,rose,floral
17581,green,green
17581,oile,fatty
3407,fruit,fruity
3407,cheese,fatty
10451,minte,minty
10451,vanilla,balsamic
14381,floral,floral
14381,green,green
14381,citru,citrus
14381,woode,woody
9850,meat,meaty
16202,mushroom,earthy
16202,oile,fatty
16202,fish,fishy
16010,sweet,balsamic
16010,tobacco,tobacco
14632,citru,citrus
14632,green,green
