compound_id,canonical_flavor,flavor_group
8189,rose,floral
8189,green,green
8189,pear,fruity
8189,berre,fruity
8231,balsam,balsamic
14604,pepper,pepper
14604,woode,woody
14604,muste,earthy
14604,sweet,balsamic
17037,woode,woody
9651,fish,fishy
13573,minte,minty
11168,cream,fatty
11168,caramel,balsamic
29909,woode,woody
29909,sweet,balsamic
21937,fat,fatty
2290,fruit,fruity
2290,lavender,floral
2290,woode,woody
18378,banana,fruity
18378,fruit,fruity
18378,sweet,balsamic
18378,green,green
14382,floral,floral
10231,sweet,balsamic
10231,woode,woody
12063,almond,nutty
9791,sulfur,chemical
9819,sweet,balsamic
9819,floral,floral
9819,fruit,fruity
17544,earth,earthy
17544,balsam,balsamic
18690,spice,spicy
18690,minte,minty
2288,green,green
2288,fruit,fruity
2288,rose,floral
17584,green,green
17584,vegetable,vegetable
17584,banana,fruity
17584,earth,earthy
9344,fruit,fruity
21292,sulfur,chemical
8121,meat,meaty
8121,sulfur,chemical
9410,nut,nutty
29893,butter,fatty
763,fruit,fruity
763,medicinal,medicinal
14960,citru,citrus
14960,floral,floral
14960,lemon,citrus
16320,floral,floral
12459,spice,spicy
12459,cinnamon,balsamic
12459,wintergreen,green
10551,sweet,balsamic
10551,coumarin,spicy
10551,cherre,fruity
3296,mushroom,earthy
11711,green,green
11711,sweet,balsamic
11711,fruit,fruity
11711,apple,fruity
11711,soape,soapy
3306,sweet,balsamic
3306,fruit,fruity
3306,pear,fruity
2793,sweet,balsamic
3492,sulfur,chemical
16207,green,green
16207,sweet,balsamic
16207,fruit,fruity
16207,rum,wine_like
16207,strawberre,fruity
9636,green,green
12044,sweet,balsamic
11134,nut,nutty
11134,woode,woody
21245,sweet,balsamic
21245,melon,citrus
21245,cherre,fruity
21245,green,green
21245,apple,fruity
14667,muste,earthy
14667,nut,nutty
14667,coumarin,spicy
13623,floral,floral
13623,fruit,fruity
13623,rose,floral
13623,peach,fruity
966,fruit,fruity
966,green,green
966,sweet,balsamic
966,pineapple,fruity
966,banana,fruity
3307,cheese,fatty
17269,lile,floral
17269,fruit,fruity
8188,floral,floral
8188,green,green
8188,rose,floral
8188,oile,fatty
1029,balsam,balsamic
1029,oile,fatty
1029,sweet,balsamic
8883,fruit,fruity
8883,green,green
15673,woode,woody
15673,spice,spicy
15673,earth,earthy
433,meat,meaty
12465,fat,fatty
14657,balsam,balsamic
14657,woode,woody
10531,sweet,balsamic
10531,floral,floral
619,fruit,fruity
15837,balsam,balsamic
8306,vegetable,vegetable
8306,muste,earthy
14955,citru,citrus
14955,lavender,floral
14955,floral,floral
14955,woode,woody
8764,balsam,balsamic
8764,clove,herbaceous
13536,woode,woody
17253,sweet,balsamic
17253,fruit,fruity
17253,banana,fruity
17253,pineapple,fruity
12590,fruit,fruity
9391,fruit,fruity
9391,pineapple,fruity
1290,nut,nutty
1290,vegetable,vegetable
19549,citru,citrus
9878,fruit,fruity
20167,chocolate,balsamic
3318,floral,floral
3318,green,green
3318,melon,citrus
3318,cucumber,vegetable
2295,lile,floral
724,sulfur,chemical
18002,floral,floral
18002,green,green
18002,sweet,balsamic
18002,chocolate,balsamic
9868,nut,nutty
8297,green,green
8297,earth,earthy
8297,sweet,balsamic
8297,vegetable,vegetable
16168,cream,fatty
16168,mushroom,earthy
15021,balsam,balsamic
15021,citru,citrus
15021,spice,spicy
3401,animal,animal
3401,sweet,balsamic
3090,fruit,fruity
3090,green,green
3090,earth,earthy
3090,vegetable,vegetable
10418,fruit,fruity
10418,floral,floral
10418,plum,fruity
10418,rose,floral
10418,honee,balsamic
10418,tobacco,tobacco
